"Item","RM","BM","Brand","Quality","SPL","TT","MTM","Purpose","Type","D1","W1","L1","D2","L2","Zn","D3","L3","A1_DEG","D1_Inch","W1_Inch","L1_Inch","Is PL","ROL","CETSH","Template or Variant Of","Description","EOL","Created By","Creation"
"HR1XRE00029","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",0.6,32,90,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 0.6x32x90 0°","2099-12-31","ramesh.pant@rigpl.com","2013-06-15 11:43:17"
"HR1XRE00037","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",0.6,32,190,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 0.6x32x190 0°","2099-12-31","ramesh.pant@rigpl.com","2013-09-14 18:56:49"
"HR1XRE00045","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1,12,150,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1x12x150 0°","2099-12-31","Administrator","2011-03-09 21:11:11"
"HR1XRE00060","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1,20,100,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1x20x100 0°","2099-12-31","anuj@rigpl.com","2014-05-21 11:39:48"
"HR1XRE00078","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1,29,55,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1x29x55 0°","2099-12-31","ramesh.pant@rigpl.com","2014-05-29 10:12:53"
"HR1XRE00086","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1,30,45,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1x30x45 0°","2099-12-31","anuj@rigpl.com","2014-05-21 11:44:51"
"HR1XRE00094","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.2,17.46,152.4,"","","","","",0,"-","11/16","6","No","","82078000","H1RE-Rectangular Tool Bits-Metric-BSW","HSS Rohit- 1X  Rect 1.2x11/16""x6 0°","2099-12-31","anuj@rigpl.com","2012-05-07 11:18:19"
"HR1XRE000A6","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.2,17.46,203.2,"","","","","",0,"-","11/16","8","No","","82078000","H1RE-Rectangular Tool Bits-Metric-BSW","HSS Rohit- 1X  Rect 1.2x11/16""x8 0°","2099-12-31","anuj@rigpl.com","2012-05-07 11:17:25"
"HR1XRE000B4","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.2,19,200,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.2x19x200 0°","2099-12-31","Administrator","2011-03-09 21:11:11"
"HR1XRE000C2","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.4,19.05,203.2,"","","","","",0,"-","3/4","8","No","","82078000","H1RE-Rectangular Tool Bits-Metric-BSW","HSS Rohit- 1X  Rect 1.4x3/4""x8 0°","2099-12-31","Administrator","2011-03-09 21:11:12"
"HR1XRE000D9","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,11.113,152.4,"","","","","",0,"-","7/16","6","No","","82078000","H1RE-Rectangular Tool Bits-Metric-BSW","HSS Rohit- 1X  Rect 1.5x7/16""x6 0°","2099-12-31","ramesh.pant@rigpl.com","2012-05-17 17:08:17"
"HR1XRE000E7","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,11.113,203.2,"","","","","",0,"-","7/16","8","No","","82078000","H1RE-Rectangular Tool Bits-Metric-BSW","HSS Rohit- 1X  Rect 1.5x7/16""x8 0°","2099-12-31","ramesh.pant@rigpl.com","2012-05-17 16:58:18"
"HR1XRE000F5","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,12,80,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x12x80 0°","2099-12-31","anuj@rigpl.com","2014-05-21 12:14:35"
"HR1XRE000G3","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,12,150,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x12x150 0°","2099-12-31","Administrator","2011-03-09 21:11:11"
"HR1XRE000H1","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,12,200,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x12x200 0°","2099-12-31","Administrator","2011-03-09 21:11:11"
"HR1XRE000J6","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,17.463,203.2,"","","","","",0,"-","11/16","8","No","","82078000","H1RE-Rectangular Tool Bits-Metric-BSW","HSS Rohit- 1X  Rect 1.5x11/16""x8 0°","2099-12-31","aditya@rigpl.com","2012-05-01 20:04:36"
"HR1XRE000K4","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,19.05,152.4,"","","","","",0,"-","3/4","6","No","","82078000","H1RE-Rectangular Tool Bits-Metric-BSW","HSS Rohit- 1X  Rect 1.5x3/4""x6 0°","2099-12-31","Administrator","2011-03-09 21:11:11"
"HR1XRE000L2","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,19.05,203.2,"","","","","",0,"-","3/4","8","No","","82078000","H1RE-Rectangular Tool Bits-Metric-BSW","HSS Rohit- 1X  Rect 1.5x3/4""x8 0°","2099-12-31","Administrator","2011-03-09 21:11:11"
"HR1XRE000M0","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,20,80,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x20x80 0°","2099-12-31","ramesh.pant@rigpl.com","2013-06-15 11:23:35"
"HR1XRE000N7","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,20,85,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x20x85 0°","2099-12-31","ramesh.pant@rigpl.com","2012-11-03 11:03:32"
"HR1XRE000P3","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,20,90,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x20x90 0°","2099-12-31","ramesh.pant@rigpl.com","2013-09-14 18:59:14"
"HR1XRE000Q1","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,20,105,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x20x105 0°","2099-12-31","ramesh.pant@rigpl.com","2012-11-03 11:05:54"
"HR1XRE000R9","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,20,120,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x20x120 0°","2099-12-31","ramesh.pant@rigpl.com","2012-11-03 11:07:49"
"HR1XRE000S6","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,25,150,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x25x150 0°","2099-12-31","Administrator","2011-03-09 21:11:12"
"HR1XRE000T4","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.5,48,60,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.5x48x60 0°","2099-12-31","ramesh.pant@rigpl.com","2014-05-29 10:15:11"
"HR1XRE000U2","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.588,6.35,152.4,"","","","","",0,"1/16","1/4","6","No","","82078000","H1RE-Rectangular Tool Bits-BSW (D < 4mm)","HSS Rohit- 1X  Rect 1/16""x1/4""x6"" 0°","2099-12-31","Administrator","2011-03-09 21:11:11"
"HR1XRE000V0","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.6,12,200,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.6x12x200 0°","2099-12-31","Administrator","2011-03-09 21:11:11"
"HR1XRE000W8","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.6,20,110,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.6x20x110 0°","2099-12-31","ramesh.pant@rigpl.com","2013-06-15 11:26:32"
"HR1XRE000X5","-","HSS","Rohit","H-1X","None","Rectangular Tool Bits","-","-","-",1.7,20,100,"","","","","",0,"-","-","-","No","","82078000","H1RE-Rectangular Tool Bits-Metric (D < 3mm)","HSS Rohit- 1X  Rect 1.7x20x100 0°","2099-12-31","ramesh.pant@rigpl.com","2013-06-15 11:20:40"
